AGENT_ID,AGENT_NAME,AGENCY_NAME,AGENCY_CODE,LICENSE_STATE,SPECIALIZATION,YEARS_EXPERIENCE,TOTAL_POLICIES,PERFORMANCE_RATING,CREATED_AT
AGT-031,Agent_31,Agency_8,AGN-031,PA,Commercial Auto,32,363,2.7,2025-02-25 14:25:05
AGT-032,Agent_32,Agency_25,AGN-032,PA,Commercial Property,20,109,4.4,2025-03-30 12:04:05
AGT-033,Agent_33,Agency_35,AGN-033,IN,Commercial Property,9,317,3.8,2025-01-24 17:52:05
AGT-034,Agent_34,Agency_5,AGN-034,IN,Workers Compensation,1,280,4.2,2025-12-21 12:03:05
AGT-035,Agent_35,Agency_23,AGN-035,WV,General Liability,6,404,4.4,2025-01-16 22:45:05
AGT-036,Agent_36,Agency_4,AGN-036,VA,Workers Compensation,20,116,4.5,2025-03-09 04:05:05
AGT-037,Agent_37,Agency_22,AGN-037,KY,Commercial Property,12,35,3.6,2024-08-19 02:27:05
AGT-038,Agent_38,Agency_23,AGN-038,OH,Multi-Line,18,409,3.1,2025-05-22 04:10:05
AGT-039,Agent_39,Agency_5,AGN-039,VA,Commercial Auto,21,487,2.4,2023-10-25 19:30:05
AGT-040,Agent_40,Agency_46,AGN-040,WV,General Liability,19,276,2.0,2023-08-31 03:28:05
AGT-041,Agent_41,Agency_2,AGN-041,IN,Workers Compensation,19,232,3.2,2024-12-29 15:21:05
AGT-042,Agent_42,Agency_17,AGN-042,KY,Commercial Auto,30,451,3.3,2025-02-20 20:06:05
AGT-043,Agent_43,Agency_6,AGN-043,PA,Commercial Property,10,297,3.1,2025-01-04 21:55:05
AGT-044,Agent_44,Agency_5,AGN-044,VA,Workers Compensation,1,41,3.7,2024-07-12 07:43:05
AGT-045,Agent_45,Agency_14,AGN-045,WV,Workers Compensation,23,385,3.0,2024-06-21 13:36:05
AGT-046,Agent_46,Agency_21,AGN-046,PA,Commercial Property,27,53,4.3,2024-07-28 07:50:05
AGT-047,Agent_47,Agency_29,AGN-047,KY,Commercial Auto,21,227,2.9,2026-04-28 00:23:05
AGT-048,Agent_48,Agency_16,AGN-048,KY,Commercial Property,14,425,3.1,2025-06-28 12:48:05
AGT-049,Agent_49,Agency_16,AGN-049,OH,Commercial Auto,34,208,4.6,2025-07-09 03:58:05
AGT-050,Agent_50,Agency_28,AGN-050,OH,Multi-Line,7,408,3.9,2024-08-14 00:26:05
AGT-051,Agent_51,Agency_8,AGN-051,KY,General Liability,11,242,3.3,2025-03-02 19:58:05
AGT-052,Agent_52,Agency_26,AGN-052,WV,Commercial Property,25,166,2.9,2025-01-17 09:50:05
AGT-053,Agent_53,Agency_50,AGN-053,KY,General Liability,24,466,3.6,2024-03-11 09:06:05
AGT-054,Agent_54,Agency_21,AGN-054,PA,Commercial Property,28,269,2.8,2025-01-30 08:17:05
AGT-055,Agent_55,Agency_28,AGN-055,IN,Workers Compensation,8,72,4.2,2023-09-28 06:00:05
AGT-056,Agent_56,Agency_3,AGN-056,VA,Commercial Auto,34,281,3.9,2024-12-25 08:06:05
AGT-057,Agent_57,Agency_20,AGN-057,VA,Commercial Auto,10,113,4.5,2026-02-15 12:00:05
AGT-058,Agent_58,Agency_43,AGN-058,KY,Multi-Line,3,433,3.6,2024-01-11 19:43:05
AGT-059,Agent_59,Agency_30,AGN-059,WV,General Liability,2,422,2.2,2025-02-15 15:42:05
AGT-060,Agent_60,Agency_42,AGN-060,VA,Workers Compensation,24,467,2.5,2024-08-17 23:59:05
AGT-061,Agent_61,Agency_36,AGN-061,OH,General Liability,30,47,5.0,2026-01-23 13:28:05
AGT-062,Agent_62,Agency_7,AGN-062,KY,Multi-Line,13,19,3.3,2024-01-17 23:33:05
AGT-063,Agent_63,Agency_8,AGN-063,IN,Commercial Auto,4,240,2.7,2023-10-27 19:58:05
AGT-064,Agent_64,Agency_42,AGN-064,VA,Commercial Auto,35,468,3.0,2025-01-25 02:26:05
AGT-065,Agent_65,Agency_32,AGN-065,OH,Commercial Property,6,180,4.5,2024-05-10 09:52:05
AGT-066,Agent_66,Agency_27,AGN-066,KY,Workers Compensation,19,471,4.3,2025-08-07 04:53:05
AGT-067,Agent_67,Agency_50,AGN-067,KY,General Liability,30,451,3.7,2024-11-28 01:58:05
AGT-068,Agent_68,Agency_39,AGN-068,KY,Multi-Line,12,407,2.9,2025-09-28 10:04:05
AGT-069,Agent_69,Agency_14,AGN-069,VA,General Liability,15,396,2.6,2025-04-15 17:33:05
AGT-070,Agent_70,Agency_14,AGN-070,IN,Workers Compensation,35,202,3.8,2025-10-17 17:25:05
AGT-071,Agent_71,Agency_28,AGN-071,WV,Commercial Property,14,471,2.7,2026-02-09 15:51:05
AGT-072,Agent_72,Agency_27,AGN-072,WV,Multi-Line,10,138,2.4,2024-01-22 07:07:05
AGT-073,Agent_73,Agency_41,AGN-073,VA,Workers Compensation,11,197,2.1,2025-01-02 12:35:05
AGT-074,Agent_74,Agency_39,AGN-074,IN,Workers Compensation,21,123,4.5,2024-01-21 11:26:05
AGT-075,Agent_75,Agency_27,AGN-075,OH,Commercial Property,19,253,2.4,2024-04-02 02:44:05
AGT-076,Agent_76,Agency_12,AGN-076,OH,Multi-Line,34,173,3.0,2025-10-19 18:15:05
AGT-077,Agent_77,Agency_4,AGN-077,KY,General Liability,4,326,3.7,2024-04-13 00:12:05
AGT-078,Agent_78,Agency_35,AGN-078,IN,Workers Compensation,22,50,3.2,2025-02-03 07:02:05
AGT-079,Agent_79,Agency_19,AGN-079,WV,Workers Compensation,24,352,2.9,2024-09-03 04:25:05
AGT-080,Agent_80,Agency_21,AGN-080,OH,Commercial Auto,11,465,2.5,2026-04-28 12:39:05
AGT-081,Agent_81,Agency_33,AGN-081,IN,Commercial Property,14,85,3.6,2024-04-07 17:41:05
AGT-082,Agent_82,Agency_28,AGN-082,KY,Multi-Line,17,176,2.8,2023-10-25 02:52:05
AGT-083,Agent_83,Agency_46,AGN-083,IN,Commercial Auto,20,170,2.7,2026-01-30 18:42:05
AGT-084,Agent_84,Agency_30,AGN-084,WV,Commercial Property,2,366,4.5,2025-10-15 23:40:05
AGT-085,Agent_85,Agency_4,AGN-085,PA,General Liability,13,484,2.6,2024-07-28 01:37:05
AGT-086,Agent_86,Agency_7,AGN-086,OH,Workers Compensation,28,278,3.4,2025-07-21 18:58:05
AGT-087,Agent_87,Agency_2,AGN-087,OH,General Liability,3,117,4.0,2026-04-02 13:03:05
AGT-088,Agent_88,Agency_20,AGN-088,OH,Multi-Line,2,352,2.2,2023-10-02 04:41:05
AGT-089,Agent_89,Agency_8,AGN-089,PA,Workers Compensation,2,104,3.9,2024-03-07 08:14:05
AGT-090,Agent_90,Agency_26,AGN-090,VA,Multi-Line,12,242,4.3,2026-04-19 17:15:05
AGT-091,Agent_91,Agency_10,AGN-091,PA,Commercial Property,5,408,4.6,2025-08-10 08:14:05
AGT-092,Agent_92,Agency_49,AGN-092,WV,Commercial Property,21,328,4.9,2024-04-13 10:46:05
AGT-093,Agent_93,Agency_22,AGN-093,VA,Multi-Line,23,413,2.7,2025-09-30 13:26:05
AGT-094,Agent_94,Agency_45,AGN-094,KY,General Liability,23,174,2.5,2024-03-25 19:05:05
AGT-095,Agent_95,Agency_39,AGN-095,IN,General Liability,13,332,2.3,2024-03-03 01:29:05
AGT-096,Agent_96,Agency_34,AGN-096,OH,Commercial Auto,9,315,3.9,2025-07-10 22:43:05
AGT-097,Agent_97,Agency_15,AGN-097,VA,Commercial Property,16,478,2.6,2025-12-27 15:44:05
AGT-098,Agent_98,Agency_13,AGN-098,IN,Multi-Line,17,457,4.5,2023-09-17 13:24:05
AGT-099,Agent_99,Agency_15,AGN-099,OH,General Liability,31,490,4.0,2026-03-04 00:27:05
AGT-100,Agent_100,Agency_13,AGN-100,IN,Workers Compensation,25,279,2.9,2025-12-12 10:36:05
AGT-101,Agent_101,Agency_13,AGN-101,KY,Multi-Line,18,292,3.3,2024-12-14 12:36:05
AGT-102,Agent_102,Agency_48,AGN-102,KY,General Liability,35,51,4.0,2025-05-17 13:21:05
AGT-103,Agent_103,Agency_29,AGN-103,IN,General Liability,18,48,3.7,2025-11-26 07:28:05
AGT-104,Agent_104,Agency_36,AGN-104,OH,Commercial Property,30,146,4.0,2023-12-28 13:43:05
AGT-105,Agent_105,Agency_1,AGN-105,OH,Commercial Property,5,379,3.7,2024-10-20 16:28:05
AGT-106,Agent_106,Agency_50,AGN-106,KY,Multi-Line,17,70,2.7,2025-01-04 13:26:05
AGT-107,Agent_107,Agency_25,AGN-107,VA,Commercial Auto,19,141,2.9,2025-11-01 09:13:05
AGT-108,Agent_108,Agency_12,AGN-108,PA,Commercial Auto,17,41,2.3,2023-09-09 10:02:05
AGT-109,Agent_109,Agency_27,AGN-109,VA,Commercial Auto,27,385,4.3,2023-11-20 13:47:05
AGT-110,Agent_110,Agency_9,AGN-110,OH,Commercial Auto,11,92,2.1,2025-02-25 10:18:05
AGT-111,Agent_111,Agency_18,AGN-111,KY,Commercial Auto,22,466,3.1,2023-11-23 17:41:05
AGT-112,Agent_112,Agency_48,AGN-112,OH,General Liability,27,471,3.5,2024-10-29 02:09:05
AGT-113,Agent_113,Agency_42,AGN-113,IN,Workers Compensation,13,338,2.3,2024-12-28 23:10:05
AGT-114,Agent_114,Agency_6,AGN-114,PA,Workers Compensation,14,199,3.9,2024-08-02 01:05:05
AGT-115,Agent_115,Agency_49,AGN-115,WV,Workers Compensation,7,404,3.9,2025-05-12 12:08:05
AGT-116,Agent_116,Agency_29,AGN-116,OH,Multi-Line,33,239,2.2,2025-06-08 09:42:05
AGT-117,Agent_117,Agency_31,AGN-117,OH,General Liability,22,102,2.2,2023-09-16 05:11:05
AGT-118,Agent_118,Agency_14,AGN-118,OH,Multi-Line,26,468,3.0,2024-07-26 08:20:05
AGT-119,Agent_119,Agency_27,AGN-119,VA,Workers Compensation,20,169,3.9,2023-10-15 10:49:05
AGT-120,Agent_120,Agency_38,AGN-120,WV,General Liability,32,210,4.3,2025-10-15 05:05:05
AGT-121,Agent_121,Agency_45,AGN-121,WV,Workers Compensation,2,291,4.5,2025-03-25 11:11:05
AGT-122,Agent_122,Agency_23,AGN-122,IN,Multi-Line,4,38,2.8,2025-10-21 10:46:05
AGT-123,Agent_123,Agency_41,AGN-123,PA,Commercial Auto,29,27,3.4,2024-10-20 11:58:05
AGT-124,Agent_124,Agency_32,AGN-124,OH,General Liability,31,161,4.0,2025-01-30 14:25:05
AGT-125,Agent_125,Agency_36,AGN-125,PA,Multi-Line,24,26,4.1,2025-07-12 04:19:05
AGT-126,Agent_126,Agency_48,AGN-126,IN,Commercial Auto,3,133,4.4,2025-04-13 23:28:05
AGT-127,Agent_127,Agency_37,AGN-127,WV,Commercial Property,23,42,3.5,2025-11-06 17:51:05
AGT-128,Agent_128,Agency_45,AGN-128,IN,General Liability,18,381,4.8,2026-01-03 14:25:05
AGT-129,Agent_129,Agency_16,AGN-129,PA,General Liability,1,158,2.9,2025-07-20 00:43:05
AGT-130,Agent_130,Agency_5,AGN-130,KY,Multi-Line,21,15,3.0,2025-04-21 08:07:05
AGT-131,Agent_131,Agency_13,AGN-131,WV,Commercial Auto,35,236,3.3,2025-12-26 14:33:05
AGT-132,Agent_132,Agency_2,AGN-132,IN,Multi-Line,28,210,3.5,2025-04-09 02:37:05
AGT-133,Agent_133,Agency_7,AGN-133,KY,Commercial Property,14,304,3.8,2024-12-28 22:29:05
AGT-134,Agent_134,Agency_35,AGN-134,KY,Commercial Auto,18,91,4.5,2024-11-18 17:29:05
AGT-135,Agent_135,Agency_3,AGN-135,IN,Multi-Line,9,175,4.6,2025-06-19 05:42:05
AGT-136,Agent_136,Agency_40,AGN-136,OH,Commercial Auto,26,150,3.5,2026-05-21 07:46:05
AGT-137,Agent_137,Agency_15,AGN-137,OH,Commercial Auto,31,497,5.0,2024-08-12 04:46:05
AGT-138,Agent_138,Agency_6,AGN-138,IN,General Liability,25,146,3.0,2023-10-13 08:47:05
AGT-139,Agent_139,Agency_22,AGN-139,PA,Commercial Auto,26,105,4.5,2025-11-14 12:13:05
AGT-140,Agent_140,Agency_25,AGN-140,PA,General Liability,27,443,3.0,2023-11-28 06:40:05
AGT-141,Agent_141,Agency_41,AGN-141,IN,Workers Compensation,35,242,4.6,2025-12-07 13:57:05
AGT-142,Agent_142,Agency_1,AGN-142,IN,Commercial Auto,35,10,3.4,2024-11-18 06:30:05
AGT-143,Agent_143,Agency_10,AGN-143,VA,Commercial Property,10,400,4.9,2025-10-26 10:45:05
AGT-144,Agent_144,Agency_24,AGN-144,KY,General Liability,26,213,4.4,2025-06-22 16:28:05
AGT-145,Agent_145,Agency_22,AGN-145,PA,Commercial Property,23,230,3.4,2024-11-03 06:55:05
AGT-146,Agent_146,Agency_12,AGN-146,OH,Commercial Auto,22,327,4.9,2026-05-08 17:21:05
AGT-147,Agent_147,Agency_34,AGN-147,WV,Workers Compensation,13,275,3.0,2025-11-06 11:06:05
AGT-148,Agent_148,Agency_39,AGN-148,OH,Commercial Auto,7,211,2.8,2025-08-23 08:44:05
AGT-149,Agent_149,Agency_41,AGN-149,OH,Commercial Property,31,299,3.1,2025-12-23 03:37:05
AGT-150,Agent_150,Agency_8,AGN-150,OH,General Liability,14,71,4.9,2025-08-04 10:02:05
AGT-151,Agent_151,Agency_48,AGN-151,PA,Multi-Line,19,426,3.0,2025-02-20 08:41:05
AGT-152,Agent_152,Agency_20,AGN-152,KY,Commercial Auto,27,454,3.5,2024-10-18 08:30:05
AGT-153,Agent_153,Agency_15,AGN-153,VA,Multi-Line,4,127,4.2,2024-01-09 07:29:05
AGT-154,Agent_154,Agency_46,AGN-154,KY,Commercial Auto,16,247,3.4,2026-04-23 10:06:05
AGT-155,Agent_155,Agency_17,AGN-155,VA,Workers Compensation,18,410,4.9,2025-03-08 15:42:05
AGT-156,Agent_156,Agency_8,AGN-156,IN,Multi-Line,18,323,3.5,2024-04-10 12:38:05
AGT-157,Agent_157,Agency_41,AGN-157,WV,Workers Compensation,28,388,2.4,2026-01-26 19:17:05
AGT-158,Agent_158,Agency_3,AGN-158,PA,Multi-Line,31,214,3.1,2024-10-18 20:43:05
AGT-159,Agent_159,Agency_33,AGN-159,KY,Multi-Line,1,199,3.4,2024-01-02 12:23:05
AGT-160,Agent_160,Agency_43,AGN-160,KY,Commercial Auto,5,90,4.7,2026-05-22 16:54:05
AGT-161,Agent_161,Agency_39,AGN-161,PA,General Liability,21,230,3.7,2023-10-09 22:43:05
AGT-162,Agent_162,Agency_40,AGN-162,KY,General Liability,19,130,3.1,2024-02-17 05:52:05
AGT-163,Agent_163,Agency_23,AGN-163,KY,Multi-Line,10,437,4.4,2024-10-30 16:18:05
AGT-164,Agent_164,Agency_37,AGN-164,IN,Multi-Line,14,151,3.3,2024-06-10 08:07:05
AGT-165,Agent_165,Agency_23,AGN-165,PA,Commercial Property,6,394,2.2,2024-10-06 09:14:05
AGT-166,Agent_166,Agency_12,AGN-166,IN,Multi-Line,10,472,2.8,2025-01-23 17:27:05
AGT-167,Agent_167,Agency_41,AGN-167,WV,General Liability,15,110,2.8,2025-12-29 09:47:05
AGT-168,Agent_168,Agency_24,AGN-168,VA,Multi-Line,26,209,2.3,2024-02-11 21:39:05
AGT-169,Agent_169,Agency_37,AGN-169,WV,Multi-Line,17,331,2.7,2025-06-24 23:59:05
AGT-170,Agent_170,Agency_11,AGN-170,KY,General Liability,24,189,3.3,2026-02-23 04:03:05
AGT-171,Agent_171,Agency_21,AGN-171,KY,Commercial Auto,28,196,3.7,2024-03-23 12:21:05
AGT-172,Agent_172,Agency_4,AGN-172,WV,Workers Compensation,14,403,4.6,2025-06-09 15:57:05
AGT-173,Agent_173,Agency_42,AGN-173,WV,Workers Compensation,16,166,3.9,2023-09-26 01:50:05
AGT-174,Agent_174,Agency_4,AGN-174,WV,Multi-Line,22,381,3.8,2024-08-07 21:27:05
AGT-175,Agent_175,Agency_18,AGN-175,PA,Commercial Property,30,89,2.8,2024-01-06 14:48:05
AGT-176,Agent_176,Agency_35,AGN-176,VA,General Liability,32,276,4.6,2025-05-17 07:17:05
AGT-177,Agent_177,Agency_39,AGN-177,KY,Workers Compensation,26,352,3.2,2025-12-01 01:09:05
AGT-178,Agent_178,Agency_29,AGN-178,IN,Multi-Line,11,27,3.6,2025-05-22 04:54:05
AGT-179,Agent_179,Agency_10,AGN-179,IN,Commercial Auto,17,499,4.6,2025-05-16 18:13:05
AGT-180,Agent_180,Agency_8,AGN-180,VA,Commercial Property,12,238,3.4,2023-09-24 10:53:05
AGT-181,Agent_181,Agency_16,AGN-181,WV,Commercial Property,5,478,5.0,2025-04-29 16:17:05
AGT-182,Agent_182,Agency_29,AGN-182,PA,Workers Compensation,8,68,4.6,2025-01-09 21:42:05
AGT-183,Agent_183,Agency_37,AGN-183,IN,Commercial Auto,29,74,4.0,2025-01-24 20:54:05
AGT-184,Agent_184,Agency_32,AGN-184,VA,Commercial Property,2,414,3.7,2024-05-25 04:58:05
AGT-185,Agent_185,Agency_14,AGN-185,VA,Commercial Auto,7,181,2.3,2025-08-14 22:32:05
AGT-186,Agent_186,Agency_42,AGN-186,KY,Commercial Property,3,95,4.1,2025-05-19 02:56:05
AGT-187,Agent_187,Agency_13,AGN-187,KY,Commercial Property,14,25,2.3,2025-04-14 10:59:05
AGT-188,Agent_188,Agency_9,AGN-188,KY,Commercial Auto,23,471,4.8,2024-06-11 21:48:05
AGT-189,Agent_189,Agency_25,AGN-189,VA,Workers Compensation,33,41,4.4,2025-09-02 13:55:05
AGT-190,Agent_190,Agency_6,AGN-190,IN,Multi-Line,19,145,3.1,2025-08-19 11:57:05
AGT-191,Agent_191,Agency_41,AGN-191,PA,Commercial Property,27,345,4.3,2024-08-31 00:28:05
AGT-192,Agent_192,Agency_8,AGN-192,PA,Workers Compensation,13,19,2.4,2024-03-01 13:31:05
AGT-193,Agent_193,Agency_11,AGN-193,VA,Commercial Property,29,427,2.1,2024-03-04 23:13:05
AGT-194,Agent_194,Agency_22,AGN-194,VA,Multi-Line,34,157,2.8,2025-06-14 03:52:05
AGT-195,Agent_195,Agency_4,AGN-195,KY,General Liability,11,81,2.5,2024-11-25 19:29:05
AGT-196,Agent_196,Agency_33,AGN-196,KY,Workers Compensation,3,47,2.2,2025-01-24 23:05:05
AGT-197,Agent_197,Agency_26,AGN-197,IN,Commercial Property,35,489,2.4,2026-01-02 05:07:05
AGT-198,Agent_198,Agency_27,AGN-198,KY,General Liability,17,96,2.2,2026-03-07 21:45:05
AGT-199,Agent_199,Agency_10,AGN-199,KY,Commercial Auto,22,376,2.8,2025-10-01 22:22:05
