POLICY_ID,POLICY_NUMBER,POLICYHOLDER_NAME,LINE_OF_BUSINESS,COVERAGE_TYPE,EFFECTIVE_DATE,EXPIRATION_DATE,PREMIUM_AMOUNT,DEDUCTIBLE_AMOUNT,COVERAGE_LIMIT,STATE,AGENCY_CODE,UNDERWRITER_ID,STATUS,CREATED_AT
POL-0000013,ENC-2026-000013,Policyholder_13,Business Owners Policy,Bodily Injury,2025-12-18,2026-03-23,13620.3,8756.22,2144532.8,VA,AGN-139,UW-025,ACTIVE,2025-06-06 14:16:05
POL-0000014,ENC-2026-000014,Policyholder_14,Workers Compensation,Collision,2025-06-10,2026-01-30,45030.9,4651.99,1277132.79,IN,AGN-087,UW-001,EXPIRED,2025-07-28 03:47:05
POL-0000015,ENC-2026-000015,Policyholder_15,Commercial Property,Bodily Injury,2024-08-31,2025-01-20,3836.32,556.28,1685621.02,GA,AGN-061,UW-009,ACTIVE,2025-06-17 05:48:05
POL-0000016,ENC-2026-000016,Policyholder_16,Business Owners Policy,Comprehensive,2024-10-20,2025-01-25,23897.22,7900.04,4047110.14,VA,AGN-025,UW-004,ACTIVE,2025-06-22 07:39:05
POL-0000017,ENC-2026-000017,Policyholder_17,Commercial Property,Umbrella,2025-02-16,2025-10-14,32846.05,6550.25,350032.74,IL,AGN-087,UW-026,ACTIVE,2026-03-31 13:49:05
POL-0000018,ENC-2026-000018,Policyholder_18,Commercial Auto,Bodily Injury,2025-10-13,2026-08-13,14287.98,2685.61,4620164.72,TN,AGN-141,UW-004,ACTIVE,2026-04-30 00:27:05
POL-0000019,ENC-2026-000019,Policyholder_19,General Liability,Bodily Injury,2026-04-10,2026-06-26,20617.5,4943.24,4330019.45,OH,AGN-043,UW-013,EXPIRED,2026-05-24 08:45:05
POL-0000020,ENC-2026-000020,Policyholder_20,Business Owners Policy,Umbrella,2025-01-15,2025-07-10,36061.21,1759.27,1518703.74,OH,AGN-149,UW-024,ACTIVE,2025-08-21 19:14:05
POL-0000021,ENC-2026-000021,Policyholder_21,Commercial Auto,Comprehensive,2025-06-08,2025-08-06,46009.66,5428.48,331553.92,GA,AGN-021,UW-028,ACTIVE,2026-02-19 18:23:05
POL-0000022,ENC-2026-000022,Policyholder_22,Business Owners Policy,Bodily Injury,2026-02-15,2026-07-15,29156.49,637.48,455817.86,SC,AGN-150,UW-019,ACTIVE,2025-08-31 10:02:05
POL-0000023,ENC-2026-000023,Policyholder_23,Workers Compensation,Bodily Injury,2025-08-01,2025-12-13,13647.92,1526.06,3245228.9,TN,AGN-081,UW-030,ACTIVE,2026-04-18 20:32:05
POL-0000024,ENC-2026-000024,Policyholder_24,Commercial Property,Comprehensive,2024-07-28,2025-06-11,11051.14,2835.7,4669633.92,IN,AGN-063,UW-012,EXPIRED,2025-12-31 15:33:05
POL-0000025,ENC-2026-000025,Policyholder_25,Business Owners Policy,Property Damage,2024-10-16,2025-04-18,33559.23,5657.37,4662192.4,IN,AGN-035,UW-009,ACTIVE,2026-03-27 17:14:05
POL-0000026,ENC-2026-000026,Policyholder_26,Business Owners Policy,Bodily Injury,2024-10-06,2025-01-23,36021.8,2235.07,3189477.9,PA,AGN-130,UW-016,ACTIVE,2026-01-17 19:56:05
POL-0000027,ENC-2026-000027,Policyholder_27,Commercial Property,Property Damage,2024-07-15,2025-03-18,17011.05,1525.49,4899999.87,WV,AGN-190,UW-015,CANCELLED,2025-08-15 22:34:05
POL-0000028,ENC-2026-000028,Policyholder_28,General Liability,Comprehensive,2024-09-28,2024-11-01,2283.39,3849.86,2784999.23,NC,AGN-033,UW-002,ACTIVE,2025-12-19 09:04:05
POL-0000029,ENC-2026-000029,Policyholder_29,General Liability,Umbrella,2026-03-16,2026-10-15,5588.28,7856.13,4426466.77,NC,AGN-159,UW-024,ACTIVE,2026-03-07 13:06:05
POL-0000030,ENC-2026-000030,Policyholder_30,Commercial Property,Bodily Injury,2025-11-10,2026-03-10,36959.94,3488.81,4657538.64,SC,AGN-189,UW-026,CANCELLED,2026-01-18 12:51:05
POL-0000031,ENC-2026-000031,Policyholder_31,Commercial Auto,Bodily Injury,2026-01-05,2026-08-18,10378.86,9204.91,1780809.2,VA,AGN-058,UW-001,CANCELLED,2025-06-22 14:36:05
POL-0000032,ENC-2026-000032,Policyholder_32,Workers Compensation,Medical Payments,2025-05-24,2025-11-12,32253.35,4146.86,4906690.95,GA,AGN-085,UW-001,CANCELLED,2026-03-27 12:50:05
POL-0000033,ENC-2026-000033,Policyholder_33,Business Owners Policy,Collision,2024-09-08,2025-02-20,17611.51,7917.67,2210149.73,GA,AGN-030,UW-013,ACTIVE,2025-08-03 14:45:05
POL-0000034,ENC-2026-000034,Policyholder_34,Business Owners Policy,Umbrella,2026-03-11,2026-11-19,36111.78,7484.01,3369611.1,KY,AGN-111,UW-003,ACTIVE,2025-06-19 10:22:05
POL-0000035,ENC-2026-000035,Policyholder_35,Workers Compensation,Comprehensive,2025-06-08,2025-09-09,15809.59,4231.83,2041881.92,PA,AGN-142,UW-005,ACTIVE,2026-02-16 07:19:05
POL-0000036,ENC-2026-000036,Policyholder_36,Workers Compensation,Collision,2025-04-02,2025-07-30,27622.89,253.96,1470222.9,NC,AGN-149,UW-020,ACTIVE,2025-06-24 10:32:05
POL-0000037,ENC-2026-000037,Policyholder_37,Business Owners Policy,Collision,2025-01-28,2025-10-11,39789.9,9608.36,3693009.16,SC,AGN-022,UW-010,ACTIVE,2025-09-03 23:21:05
POL-0000038,ENC-2026-000038,Policyholder_38,General Liability,Umbrella,2024-07-30,2025-02-16,15865.76,8113.99,779402.11,OH,AGN-063,UW-016,ACTIVE,2025-07-17 18:32:05
POL-0000039,ENC-2026-000039,Policyholder_39,Commercial Auto,Collision,2025-02-25,2026-02-12,20282.82,1688.82,3453730.94,IN,AGN-200,UW-014,ACTIVE,2026-02-02 15:10:05
POL-0000040,ENC-2026-000040,Policyholder_40,General Liability,Property Damage,2024-11-11,2025-08-05,23094.86,8063.81,3354509.78,GA,AGN-153,UW-011,ACTIVE,2025-10-11 01:09:05
POL-0000041,ENC-2026-000041,Policyholder_41,Business Owners Policy,Collision,2024-11-25,2025-07-31,44911.8,7500.64,2399638.46,PA,AGN-193,UW-008,CANCELLED,2025-07-03 12:12:05
POL-0000042,ENC-2026-000042,Policyholder_42,Workers Compensation,Collision,2024-11-08,2025-08-13,4335.43,3035.85,1394989.78,KY,AGN-139,UW-003,ACTIVE,2026-03-16 16:47:05
POL-0000043,ENC-2026-000043,Policyholder_43,Commercial Property,Collision,2025-03-29,2025-07-15,20676.17,5540.46,2108082.46,VA,AGN-108,UW-013,ACTIVE,2025-07-29 23:00:05
POL-0000044,ENC-2026-000044,Policyholder_44,Workers Compensation,Medical Payments,2024-09-13,2025-04-25,37797.02,8571.12,4769480.18,NC,AGN-138,UW-024,ACTIVE,2025-08-19 01:04:05
POL-0000045,ENC-2026-000045,Policyholder_45,Commercial Auto,Collision,2025-09-12,2026-06-18,1936.73,3527.26,3411752.33,NC,AGN-186,UW-006,ACTIVE,2025-09-28 16:22:05
POL-0000046,ENC-2026-000046,Policyholder_46,Business Owners Policy,Comprehensive,2024-10-26,2024-12-08,33318.49,1068.49,2171633.21,TN,AGN-047,UW-002,EXPIRED,2026-01-12 08:41:05
POL-0000047,ENC-2026-000047,Policyholder_47,Commercial Auto,Medical Payments,2025-09-21,2026-06-10,37724.49,8361.26,1298744.08,IN,AGN-121,UW-001,ACTIVE,2025-08-22 19:39:05
POL-0000048,ENC-2026-000048,Policyholder_48,Commercial Property,Property Damage,2025-09-08,2026-09-05,47505.78,2193.77,150881.09,WV,AGN-062,UW-005,ACTIVE,2025-09-24 23:54:05
POL-0000049,ENC-2026-000049,Policyholder_49,Workers Compensation,Medical Payments,2024-09-25,2025-02-13,8805.56,6170.66,3752231.98,IN,AGN-200,UW-027,ACTIVE,2026-03-03 11:55:05
POL-0000050,ENC-2026-000050,Policyholder_50,Business Owners Policy,Umbrella,2024-09-10,2024-10-23,45447.29,3909.24,4710279.46,VA,AGN-020,UW-019,EXPIRED,2025-06-06 00:46:05
POL-0000051,ENC-2026-000051,Policyholder_51,Business Owners Policy,Property Damage,2026-01-11,2026-07-14,39913.25,5767.84,253292.19,GA,AGN-110,UW-022,CANCELLED,2025-11-17 18:29:05
POL-0000052,ENC-2026-000052,Policyholder_52,Commercial Auto,Collision,2024-07-01,2025-01-21,5724.17,9617.68,3196146.28,TN,AGN-182,UW-005,ACTIVE,2025-10-15 15:15:05
POL-0000053,ENC-2026-000053,Policyholder_53,Business Owners Policy,Collision,2024-11-07,2025-11-05,23511.25,8300.91,2982749.36,KY,AGN-063,UW-027,ACTIVE,2026-04-11 12:05:05
POL-0000054,ENC-2026-000054,Policyholder_54,Business Owners Policy,Comprehensive,2025-01-19,2025-06-22,33575.33,3529.87,2496817.19,KY,AGN-047,UW-016,ACTIVE,2026-02-06 09:10:05
POL-0000055,ENC-2026-000055,Policyholder_55,Business Owners Policy,Umbrella,2025-08-04,2026-02-24,44065.31,5668.96,2607304.9,VA,AGN-022,UW-008,ACTIVE,2025-10-29 05:26:05
POL-0000056,ENC-2026-000056,Policyholder_56,Commercial Auto,Collision,2025-08-22,2026-05-22,39750.18,1157.27,1146902.18,IL,AGN-063,UW-010,ACTIVE,2025-06-20 02:38:05
POL-0000057,ENC-2026-000057,Policyholder_57,Commercial Auto,Umbrella,2024-12-27,2025-11-05,27744.23,3680.15,2296039.05,PA,AGN-065,UW-008,ACTIVE,2026-03-24 21:49:05
POL-0000058,ENC-2026-000058,Policyholder_58,General Liability,Bodily Injury,2025-06-06,2025-09-05,11211.04,4970.94,3636695.76,GA,AGN-153,UW-010,ACTIVE,2026-04-04 14:43:05
POL-0000059,ENC-2026-000059,Policyholder_59,Commercial Property,Umbrella,2025-09-05,2026-04-07,26939.69,2924.54,4872759.91,GA,AGN-075,UW-023,ACTIVE,2026-03-22 00:06:05
POL-0000060,ENC-2026-000060,Policyholder_60,Business Owners Policy,Medical Payments,2024-12-09,2025-03-01,23735.15,4544.57,962600.17,OH,AGN-065,UW-028,CANCELLED,2025-09-23 17:09:05
POL-0000061,ENC-2026-000061,Policyholder_61,Business Owners Policy,Umbrella,2026-02-18,2026-10-11,34479.33,1729.34,4065153.28,PA,AGN-022,UW-008,ACTIVE,2026-03-26 03:13:05
POL-0000062,ENC-2026-000062,Policyholder_62,Business Owners Policy,Bodily Injury,2025-02-23,2026-01-29,38896.83,3958.69,4547096.67,PA,AGN-151,UW-014,ACTIVE,2025-12-20 02:22:05
POL-0000063,ENC-2026-000063,Policyholder_63,Commercial Property,Bodily Injury,2026-02-23,2027-01-31,31462.99,2830.3,451877.95,VA,AGN-045,UW-018,EXPIRED,2026-04-17 16:01:05
POL-0000064,ENC-2026-000064,Policyholder_64,Commercial Auto,Medical Payments,2025-03-03,2025-11-18,2115.67,3059.02,1449455.95,TN,AGN-019,UW-022,ACTIVE,2026-01-26 12:11:05
POL-0000065,ENC-2026-000065,Policyholder_65,General Liability,Collision,2024-07-24,2025-06-20,6181.43,2441.89,787497.54,PA,AGN-037,UW-003,ACTIVE,2026-04-25 15:11:05
POL-0000066,ENC-2026-000066,Policyholder_66,Business Owners Policy,Medical Payments,2025-06-15,2026-05-15,22238.1,4819.81,1555251.39,NC,AGN-070,UW-017,ACTIVE,2025-08-22 05:33:05
POL-0000067,ENC-2026-000067,Policyholder_67,Commercial Auto,Umbrella,2026-02-02,2027-01-04,16454.92,2691.09,502068.09,SC,AGN-148,UW-019,ACTIVE,2026-05-14 23:09:05
POL-0000068,ENC-2026-000068,Policyholder_68,General Liability,Collision,2025-07-24,2026-06-14,26188.71,4561.74,1426875.03,MD,AGN-112,UW-021,ACTIVE,2025-09-16 18:31:05
POL-0000069,ENC-2026-000069,Policyholder_69,Commercial Property,Bodily Injury,2025-05-04,2025-12-29,16825.28,7013.32,1476678.09,NC,AGN-195,UW-018,ACTIVE,2026-05-07 06:56:05
POL-0000070,ENC-2026-000070,Policyholder_70,Commercial Auto,Comprehensive,2025-06-07,2025-11-13,41333.9,261.22,4353369.05,TN,AGN-106,UW-002,ACTIVE,2026-02-18 04:38:05
POL-0000071,ENC-2026-000071,Policyholder_71,Commercial Property,Bodily Injury,2024-07-27,2025-05-08,13719.28,1527.38,1475744.27,IL,AGN-125,UW-004,ACTIVE,2026-05-11 00:23:05
POL-0000072,ENC-2026-000072,Policyholder_72,Commercial Property,Comprehensive,2025-08-23,2025-12-12,20695.54,2440.83,4214958.12,IN,AGN-119,UW-004,ACTIVE,2025-06-28 16:30:05
POL-0000073,ENC-2026-000073,Policyholder_73,Commercial Auto,Collision,2025-07-01,2026-04-17,49022.11,2626.38,2778762.13,NC,AGN-049,UW-030,ACTIVE,2025-07-23 04:14:05
POL-0000074,ENC-2026-000074,Policyholder_74,Commercial Auto,Medical Payments,2025-12-07,2026-02-10,46745.3,5200.44,4111719.89,PA,AGN-186,UW-010,ACTIVE,2025-07-29 02:19:05
POL-0000075,ENC-2026-000075,Policyholder_75,Commercial Auto,Medical Payments,2024-12-10,2025-03-26,16955.78,7688.01,1917189.77,KY,AGN-049,UW-023,ACTIVE,2026-01-23 02:37:05
POL-0000076,ENC-2026-000076,Policyholder_76,Commercial Auto,Umbrella,2025-08-29,2026-04-26,45714.79,3967.0,4942649.31,SC,AGN-039,UW-016,ACTIVE,2026-05-07 16:29:05
POL-0000077,ENC-2026-000077,Policyholder_77,Commercial Auto,Property Damage,2024-08-29,2025-03-16,26534.58,4705.05,3626096.95,NC,AGN-168,UW-005,CANCELLED,2026-04-17 05:11:05
POL-0000078,ENC-2026-000078,Policyholder_78,Commercial Auto,Umbrella,2025-07-28,2026-02-16,4475.61,3453.51,3388069.6,GA,AGN-098,UW-011,ACTIVE,2025-07-08 22:05:05
POL-0000079,ENC-2026-000079,Policyholder_79,Commercial Property,Bodily Injury,2024-12-12,2025-10-15,31742.47,9229.06,4987258.32,IL,AGN-024,UW-014,ACTIVE,2026-04-05 00:16:05
POL-0000080,ENC-2026-000080,Policyholder_80,Workers Compensation,Property Damage,2026-01-13,2026-09-27,2776.55,8012.4,1502170.49,KY,AGN-111,UW-005,ACTIVE,2026-01-20 04:35:05
POL-0000081,ENC-2026-000081,Policyholder_81,Commercial Property,Comprehensive,2024-09-23,2025-01-23,43606.56,6292.18,1242107.47,MD,AGN-037,UW-008,ACTIVE,2025-10-01 00:45:05
POL-0000082,ENC-2026-000082,Policyholder_82,Commercial Auto,Medical Payments,2025-01-10,2025-06-19,34041.74,1790.26,2236562.43,KY,AGN-151,UW-010,ACTIVE,2025-07-02 07:17:05
POL-0000083,ENC-2026-000083,Policyholder_83,General Liability,Collision,2025-08-12,2026-05-02,42740.11,1289.87,1937753.27,KY,AGN-148,UW-010,CANCELLED,2025-06-01 12:00:05
POL-0000084,ENC-2026-000084,Policyholder_84,Business Owners Policy,Umbrella,2024-06-20,2025-02-07,39026.42,9742.63,4557553.92,IL,AGN-128,UW-027,ACTIVE,2025-12-30 13:23:05
POL-0000085,ENC-2026-000085,Policyholder_85,Business Owners Policy,Medical Payments,2025-04-30,2025-09-19,34049.34,7279.05,3312948.62,WV,AGN-161,UW-004,ACTIVE,2025-07-08 00:59:05
POL-0000086,ENC-2026-000086,Policyholder_86,Workers Compensation,Umbrella,2025-06-13,2026-02-23,7004.88,9118.87,1667259.67,NC,AGN-045,UW-007,ACTIVE,2026-03-19 03:05:05
POL-0000087,ENC-2026-000087,Policyholder_87,Workers Compensation,Bodily Injury,2025-04-16,2026-02-11,13220.02,8290.73,2435146.76,PA,AGN-192,UW-028,ACTIVE,2025-12-03 17:32:05
POL-0000088,ENC-2026-000088,Policyholder_88,General Liability,Umbrella,2026-02-07,2026-05-20,36348.73,9804.44,4837985.25,GA,AGN-094,UW-003,ACTIVE,2025-11-04 20:45:05
POL-0000089,ENC-2026-000089,Policyholder_89,Workers Compensation,Comprehensive,2024-10-23,2025-01-24,19360.76,6475.86,1888794.52,SC,AGN-060,UW-016,ACTIVE,2026-05-13 01:05:05
POL-0000090,ENC-2026-000090,Policyholder_90,General Liability,Umbrella,2024-09-28,2025-04-13,3629.24,8282.59,4551468.81,PA,AGN-167,UW-014,EXPIRED,2026-03-27 16:59:05
POL-0000091,ENC-2026-000091,Policyholder_91,Commercial Property,Property Damage,2026-03-18,2026-09-19,12122.6,5491.08,1973796.86,KY,AGN-172,UW-024,EXPIRED,2025-06-03 03:35:05
POL-0000092,ENC-2026-000092,Policyholder_92,Commercial Property,Collision,2024-09-01,2024-12-19,30974.78,9405.77,1434713.69,IL,AGN-095,UW-007,CANCELLED,2025-10-10 06:46:05
POL-0000093,ENC-2026-000093,Policyholder_93,Workers Compensation,Comprehensive,2025-04-19,2025-07-08,45133.96,6537.06,349722.94,PA,AGN-049,UW-004,EXPIRED,2025-10-05 18:19:05
POL-0000094,ENC-2026-000094,Policyholder_94,Commercial Property,Property Damage,2025-09-20,2026-09-13,39446.33,2624.8,673323.23,MD,AGN-053,UW-003,ACTIVE,2025-08-15 14:24:05
POL-0000095,ENC-2026-000095,Policyholder_95,General Liability,Comprehensive,2025-09-16,2026-02-12,640.36,8619.46,766205.5,WV,AGN-139,UW-009,ACTIVE,2026-02-25 17:19:05
POL-0000096,ENC-2026-000096,Policyholder_96,General Liability,Comprehensive,2026-03-30,2026-07-05,16526.69,1948.9,309375.14,IL,AGN-108,UW-017,ACTIVE,2026-03-27 21:57:05
POL-0000097,ENC-2026-000097,Policyholder_97,Business Owners Policy,Comprehensive,2024-12-24,2025-09-09,5898.17,5162.43,4729807.43,OH,AGN-187,UW-026,ACTIVE,2025-06-22 04:42:05
POL-0000098,ENC-2026-000098,Policyholder_98,Commercial Property,Collision,2025-01-11,2026-01-05,42441.28,4406.17,584411.06,IL,AGN-114,UW-003,EXPIRED,2026-04-14 10:23:05
POL-0000099,ENC-2026-000099,Policyholder_99,Business Owners Policy,Umbrella,2025-11-25,2026-01-27,29475.55,7193.49,1935476.77,MD,AGN-136,UW-010,ACTIVE,2025-10-05 04:23:05
POL-0000100,ENC-2026-000100,Policyholder_100,Commercial Property,Umbrella,2025-02-09,2025-04-30,32720.37,7747.39,3618157.59,VA,AGN-111,UW-015,ACTIVE,2026-01-29 07:40:05
POL-0000101,ENC-2026-000101,Policyholder_101,Commercial Property,Medical Payments,2025-01-16,2025-09-07,21624.82,6734.8,1902790.07,WV,AGN-176,UW-030,ACTIVE,2025-09-25 18:56:05
POL-0000102,ENC-2026-000102,Policyholder_102,Workers Compensation,Bodily Injury,2026-01-28,2026-04-15,28040.35,5968.03,2829852.75,KY,AGN-172,UW-004,ACTIVE,2025-10-27 09:06:05
POL-0000103,ENC-2026-000103,Policyholder_103,Commercial Property,Medical Payments,2024-06-13,2025-02-14,30220.3,3678.55,2910696.67,VA,AGN-040,UW-022,CANCELLED,2025-09-21 13:07:05
POL-0000104,ENC-2026-000104,Policyholder_104,Workers Compensation,Property Damage,2026-01-05,2026-08-02,38248.98,5847.48,4045745.79,GA,AGN-197,UW-027,CANCELLED,2025-07-11 01:18:05
POL-0000105,ENC-2026-000105,Policyholder_105,Workers Compensation,Property Damage,2024-07-06,2025-05-17,9430.6,7101.31,1579474.21,KY,AGN-090,UW-001,ACTIVE,2026-02-22 16:25:05
POL-0000106,ENC-2026-000106,Policyholder_106,Commercial Property,Property Damage,2024-06-21,2025-02-11,37432.53,2347.55,2128170.84,KY,AGN-041,UW-012,ACTIVE,2025-12-16 21:41:05
POL-0000107,ENC-2026-000107,Policyholder_107,Commercial Property,Bodily Injury,2024-09-21,2025-08-22,8291.79,6273.92,3386145.12,PA,AGN-114,UW-022,ACTIVE,2025-10-20 05:23:05
POL-0000108,ENC-2026-000108,Policyholder_108,Business Owners Policy,Property Damage,2025-01-28,2025-09-27,17586.06,1331.18,3407178.57,MD,AGN-125,UW-017,ACTIVE,2025-06-18 11:59:05
POL-0000109,ENC-2026-000109,Policyholder_109,Commercial Property,Property Damage,2025-09-12,2026-05-02,10618.94,9466.91,3848380.16,PA,AGN-075,UW-011,EXPIRED,2026-03-25 20:30:05
POL-0000110,ENC-2026-000110,Policyholder_110,Business Owners Policy,Umbrella,2025-02-09,2025-06-08,11890.48,5697.55,3356838.45,KY,AGN-019,UW-013,ACTIVE,2026-05-04 08:00:05
POL-0000111,ENC-2026-000111,Policyholder_111,Business Owners Policy,Collision,2025-01-10,2025-03-20,28883.28,7167.61,2117585.1,IN,AGN-104,UW-001,CANCELLED,2025-12-10 15:10:05
POL-0000112,ENC-2026-000112,Policyholder_112,Workers Compensation,Property Damage,2024-08-01,2025-04-23,22117.23,1282.17,2206598.81,NC,AGN-135,UW-003,CANCELLED,2025-11-04 11:14:05
POL-0000113,ENC-2026-000113,Policyholder_113,General Liability,Property Damage,2025-05-13,2025-10-03,25768.92,1361.76,2574262.71,KY,AGN-090,UW-024,ACTIVE,2025-06-29 16:46:05
POL-0000114,ENC-2026-000114,Policyholder_114,General Liability,Comprehensive,2026-01-10,2026-04-24,8067.05,7651.74,422998.7,SC,AGN-127,UW-015,ACTIVE,2025-08-10 02:33:05
POL-0000115,ENC-2026-000115,Policyholder_115,Business Owners Policy,Medical Payments,2024-05-28,2025-04-12,43280.22,6365.37,797239.14,IN,AGN-121,UW-015,ACTIVE,2025-07-06 11:11:05
POL-0000116,ENC-2026-000116,Policyholder_116,Business Owners Policy,Property Damage,2025-07-18,2026-06-15,15865.19,4656.16,331605.75,PA,AGN-020,UW-021,ACTIVE,2026-04-09 01:23:05
POL-0000117,ENC-2026-000117,Policyholder_117,Business Owners Policy,Umbrella,2024-11-22,2025-07-06,44845.9,4634.9,4058588.79,SC,AGN-049,UW-011,ACTIVE,2025-07-20 05:29:05
POL-0000118,ENC-2026-000118,Policyholder_118,Workers Compensation,Umbrella,2025-11-22,2026-01-22,4674.29,6549.74,243753.52,IL,AGN-113,UW-015,ACTIVE,2025-08-30 04:22:05
POL-0000119,ENC-2026-000119,Policyholder_119,Workers Compensation,Collision,2025-11-14,2026-06-18,20734.09,3549.08,3009535.02,SC,AGN-166,UW-011,ACTIVE,2026-04-22 10:55:05
POL-0000120,ENC-2026-000120,Policyholder_120,Business Owners Policy,Bodily Injury,2024-10-01,2025-05-16,17001.42,5931.71,750070.48,KY,AGN-080,UW-021,ACTIVE,2025-06-01 23:36:05
POL-0000121,ENC-2026-000121,Policyholder_121,Commercial Property,Medical Payments,2025-12-14,2026-11-13,28166.64,6524.06,1675958.94,WV,AGN-172,UW-023,ACTIVE,2025-06-09 04:56:05
POL-0000122,ENC-2026-000122,Policyholder_122,Commercial Property,Medical Payments,2024-07-03,2025-03-06,15788.87,9523.9,1741575.11,TN,AGN-050,UW-008,ACTIVE,2026-03-16 16:57:05
POL-0000123,ENC-2026-000123,Policyholder_123,Business Owners Policy,Umbrella,2025-06-27,2025-09-16,44242.27,618.04,1716983.64,MD,AGN-034,UW-020,ACTIVE,2025-11-14 16:51:05
POL-0000124,ENC-2026-000124,Policyholder_124,General Liability,Umbrella,2025-10-22,2026-10-06,22164.83,4255.87,3397996.46,VA,AGN-114,UW-020,CANCELLED,2025-12-30 21:11:05
POL-0000125,ENC-2026-000125,Policyholder_125,Workers Compensation,Collision,2025-01-21,2025-06-19,45246.73,2141.66,3407618.78,MD,AGN-113,UW-015,ACTIVE,2026-01-01 08:29:05
POL-0000126,ENC-2026-000126,Policyholder_126,General Liability,Comprehensive,2024-11-01,2025-07-03,7350.73,2687.53,3223836.23,KY,AGN-142,UW-030,EXPIRED,2026-04-02 22:07:05
POL-0000127,ENC-2026-000127,Policyholder_127,General Liability,Medical Payments,2024-11-13,2025-02-14,22741.3,5255.19,4163681.26,IN,AGN-057,UW-027,ACTIVE,2025-10-07 09:02:05
POL-0000128,ENC-2026-000128,Policyholder_128,Business Owners Policy,Medical Payments,2026-03-29,2026-11-26,12171.01,9946.62,1905817.73,OH,AGN-082,UW-030,ACTIVE,2026-04-04 22:20:05
POL-0000129,ENC-2026-000129,Policyholder_129,Workers Compensation,Collision,2025-05-17,2025-08-29,34955.56,1603.23,3542404.07,TN,AGN-158,UW-001,ACTIVE,2026-04-15 20:45:05
POL-0000130,ENC-2026-000130,Policyholder_130,Business Owners Policy,Comprehensive,2025-09-17,2026-01-01,21451.11,7817.68,1226319.12,IN,AGN-013,UW-008,ACTIVE,2025-10-23 00:11:05
POL-0000131,ENC-2026-000131,Policyholder_131,Commercial Auto,Comprehensive,2024-07-27,2025-04-17,27034.66,6411.56,2896484.91,IL,AGN-037,UW-010,ACTIVE,2025-10-18 20:22:05
POL-0000132,ENC-2026-000132,Policyholder_132,General Liability,Umbrella,2025-04-29,2025-09-29,33576.64,5353.97,1834988.6,GA,AGN-140,UW-017,ACTIVE,2025-09-08 04:00:05
